date,time,value
2019-08-22,12:51:00,19.195358622070643
2019-09-19,09:44:00,13.519543484764311
2019-08-26,14:05:00,9.191413297293053
2019-08-19,16:37:00,18.34659762113549
2019-09-05,09:18:00,1.3497780071369094
2019-09-02,10:23:00,8.462216831548021
2019-08-23,15:05:00,17.247125198490632
2019-08-22,10:44:00,19.307438746303912
2019-08-29,10:26:00,7.748959147495662
2019-09-11,14:02:00,33.74123318031448
2019-08-23,13:34:00,17.385419447114586
2019-08-30,15:12:00,9.309158559543206
2019-09-12,11:19:00,36.34107908841354
2019-09-05,16:29:00,0.8793838849312922
2019-08-29,17:18:00,8.112746503125619
2019-08-27,12:23:00,7.433896894815558
2019-09-20,17:39:00,13.310252831265805
2019-08-22,15:47:00,19.02803130200716
2019-09-04,10:58:00,3.5805940067500703
2019-09-03,12:59:00,6.055646361490765
2019-08-23,09:42:00,17.72483617397254
2019-09-17,14:04:00,20.16505225815964
2019-09-03,16:59:00,5.627996618554197
2019-08-22,15:25:00,19.04969876084759
2019-09-05,09:37:00,1.325653859835919
2019-09-09,11:57:00,18.715893921501696
2019-09-18,15:21:00,15.666387651876128
2019-08-21,12:53:00,20.004707698622685
2019-09-19,09:33:00,13.534762664631256
2019-08-22,10:43:00,19.30829200293133
2019-09-02,13:38:00,8.215561266143652
2019-09-20,10:13:00,12.87854203300228
2019-08-27,17:40:00,7.187940299630532
2019-09-17,14:06:00,20.158326981080496
2019-08-22,09:05:00,19.38966754247676
2019-09-16,10:05:00,26.113731336362786
2019-09-11,13:03:00,33.564273563816236
2019-09-20,12:37:00,12.982639075126645
2019-09-16,14:16:00,25.21081972015176
2019-09-06,10:59:00,0.6169082525944298
2019-08-21,17:22:00,19.933797532537838
2019-09-09,09:10:00,17.672332751406895
2019-08-23,14:34:00,17.29455670049089
2019-08-22,16:46:00,18.968876068779963
2019-08-28,15:59:00,7.042037486946599
2019-09-13,16:02:00,36.46555797208621
2019-09-19,14:18:00,13.185904326326881
2019-09-02,14:43:00,8.130078886574601
2019-09-10,15:02:00,28.190143951847247
2019-08-21,09:14:00,20.033023577100966
2019-09-13,16:51:00,36.418025506300346
2019-09-09,15:31:00,20.04877534673218
2019-08-23,09:12:00,17.76731391973965
2019-09-10,10:27:00,26.745325932344
2019-08-23,12:06:00,17.516415099858445
2019-08-23,14:19:00,17.31738897670325
2019-08-29,15:30:00,8.014472555392176
2019-09-06,17:55:00,0.9703547088428768
2019-09-05,13:26:00,1.0586373470686432
2019-08-27,10:10:00,7.559265489537907
2019-08-26,13:13:00,9.27852422166701
2019-08-30,11:03:00,9.098249167281915
2019-09-10,11:21:00,27.03626744598227
2019-09-19,13:07:00,13.263818911751336
2019-09-17,15:46:00,19.824037633068322
2019-08-22,12:00:00,19.241249858263494
2019-09-03,16:24:00,5.691242457567023
2019-09-12,13:02:00,36.452728097278225
2019-08-22,11:12:00,19.283360982575427
2019-09-13,10:33:00,36.715326903303634
2019-09-18,12:39:00,16.07486723930289
2019-09-03,10:20:00,6.330840710242888
2019-09-11,14:17:00,33.78539198874805
2019-08-30,11:29:00,9.120941075483456
2019-09-03,09:19:00,6.434608973649219
2019-09-09,14:25:00,19.63861638489648
2019-09-12,14:39:00,36.5451146036878
2019-09-06,14:21:00,0.7532191304175464
2019-09-06,10:28:00,0.6016310841490401
2019-08-28,11:32:00,6.964076045844357
2019-08-22,14:27:00,19.10579797023637
2019-09-20,15:40:00,13.163143489602122
2019-09-09,17:06:00,20.637117848811354
2019-09-11,12:14:00,33.413331449100426
2019-09-05,15:40:00,0.9242176089969448
2019-08-28,17:27:00,7.077241759931482
2019-09-11,10:20:00,33.04811036758983
2019-08-22,12:57:00,19.18988229809962
2019-08-28,14:17:00,7.0069680025825445
2019-09-10,14:39:00,28.072963213483938
2019-08-19,12:41:00,17.967008466130434
2019-08-19,13:48:00,18.078998195460574
2019-09-13,13:21:00,36.602998148291256
2019-08-29,11:49:00,7.819515522325119
2019-08-27,17:28:00,7.195834133178742
2019-09-12,16:43:00,36.64538753702697
2019-08-19,16:28:00,18.332880279388014
2019-08-29,16:45:00,8.082546807709942
2019-08-21,10:32:00,20.026017820781874
2019-08-22,15:18:00,19.05654826865093
2019-09-06,10:34:00,0.6044735221530582
2019-09-11,13:48:00,33.69971476625113
2019-09-18,15:39:00,15.622303717227162
2019-08-19,09:54:00,17.67310544331536
2019-08-21,17:09:00,19.938121994927442
2019-08-29,15:38:00,8.021693916126104
2019-09-20,12:14:00,12.963797953352325
2019-08-27,10:09:00,7.560255470267996
2019-09-10,13:34:00,27.738053270814266
2019-08-27,13:50:00,7.3588137843978
2019-09-09,12:10:00,18.797063580640987
2019-09-16,11:55:00,25.71862265797625
2019-09-11,10:02:00,32.98863805707405
2019-09-10,14:37:00,28.062740429077007
2019-09-04,09:17:00,3.774010375414656
2019-09-19,09:58:00,13.500372948071668
2019-08-20,10:37:00,19.574005469636155
2019-08-22,12:13:00,19.22966407984559
2019-09-09,10:34:00,18.19734801590088
2019-08-19,11:10:00,17.80948342110485
2019-09-06,10:16:00,0.5961102472928523
2019-09-09,11:44:00,18.63470814448948
2019-08-20,09:55:00,19.541261591318023
2019-08-26,11:15:00,9.480272454326508
2019-08-23,17:39:00,17.00667316418757
2019-09-09,12:17:00,18.840763055113065
2019-09-04,17:22:00,2.8632912449306858
2019-09-16,09:27:00,26.249930870030884
2019-09-05,13:28:00,1.0565077348058278
2019-08-19,12:12:00,17.917487915130593
2019-08-27,16:07:00,7.25209754446826
2019-09-02,15:32:00,8.064584960710413
2019-09-11,11:09:00,33.20750740084236
